Year,Region Name,Pounds,Dollars,Collection,Metric Tons
1950,Gulf,"570,641,100","50,357,945",Commercial,"258,841"
1950,Middle Atlantic,"873,150,700","53,973,253",Commercial,"396,059"
1950,New England,"1,006,589,500","60,576,490",Commercial,"456,586"
1950,Pacific Coast,"1,716,453,400","110,917,048",Commercial,"778,578"
1950,South Atlantic,"260,881,400","18,943,779",Commercial,"118,335"
1951,Gulf,"649,668,300","63,623,145",Commercial,"294,688"
1951,Middle Atlantic,"886,781,500","54,741,099",Commercial,"402,241"
1951,New England,"916,807,600","67,431,668",Commercial,"415,861"
1951,Pacific Coast,"1,296,517,000","100,746,805",Commercial,"588,096"
1951,South Atlantic,"310,779,300","17,965,732",Commercial,"140,969"
1952,Gulf,"759,507,100","68,220,786",Commercial,"344,510"
1952,Middle Atlantic,"878,081,800","55,790,013",Commercial,"398,295"
1952,New England,"954,562,500","67,295,992",Commercial,"432,987"
1952,Pacific Coast,"1,052,179,500","94,098,945",Commercial,"477,265"
1952,South Atlantic,"436,305,000","19,616,828",Commercial,"197,907"
1953,Gulf,"759,392,700","85,157,157",Commercial,"344,458"
1953,Middle Atlantic,"1,307,271,900","56,719,666",Commercial,"592,975"
1953,New England,"864,005,000","60,111,970",Commercial,"391,910"
1953,Pacific Coast,"987,270,600","88,061,836",Commercial,"447,823"
1953,South Atlantic,"326,544,800","20,157,158",Commercial,"148,120"
1954,Gulf,"754,699,900","72,572,237",Commercial,"342,330"
1954,Middle Atlantic,"1,360,656,500","62,599,935",Commercial,"617,190"
1954,New England,"966,440,800","57,601,534",Commercial,"438,375"
1954,Pacific Coast,"1,038,237,900","99,612,567",Commercial,"470,942"
1954,South Atlantic,"326,063,200","17,560,384",Commercial,"147,901"
1955,Gulf,"829,638,900","76,286,847",Commercial,"376,322"
1955,Middle Atlantic,"1,369,383,700","60,859,731",Commercial,"621,148"
1955,New England,"955,418,100","57,242,953",Commercial,"433,375"
1955,Pacific Coast,"1,048,165,600","83,547,465",Commercial,"475,445"
1955,South Atlantic,"346,573,700","17,274,433",Commercial,"157,205"
1956,Gulf,"899,773,800","85,377,584",Commercial,"408,135"
1956,Middle Atlantic,"1,432,143,400","63,803,500",Commercial,"649,616"
1956,New England,"1,015,245,500","59,272,509",Commercial,"460,512"
